// team: Blue Lions FC
Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
M_Davis      27 eng   C 17  4  5  3 72 40 650 220 200 140  24  58   0   0   0   0   0   3   0   0  97
F_Clark      25 esp  RC  2 16  9  4 80 60 130 630 400 180  23   0  40  10   0   0   0   7   0   0  94
R_Rodriguez  28 esp  LC  3 15 10  5 75 55 120 610 420 210  25   0  36  12   1   0   1   5   0   0  93
H_Lewis      26 eng   C  2 17  8  4 73 50 110 650 350 190  24   0  42   9   0   0   0   4   0   0  95
J_Walker     24 eng  LR  3 14  9  6 78 65 140 580 400 260  22   0  32  14   3   0   2   8   0   0  96
S_Allen      27 eng   C  2  7 17  7 81 45 150 310 730 320  25   0   8  50   8   0   7   3   0   0  97
B_King       23 eng  LC  3  8 15  9 84 40 160 340 680 380  21   0  10  44  12   0  10   2   0   0  96
D_Wright     22 esp  RC  2  6 14 13 79 50 170 270 630 500  20   0   6  36  24   4  11   4   0   0  95
G_Lopez      21 esp  RL  2  5 12 15 77 55 180 230 590 530  19   0   4  30  30   7   9   5   0   0  94
T_Hill       30 eng  RC  3  4  9 16 71 60 190 210 410 670  27   0   2  22  38  11   7   6   0   0  92
C_Scott      28 eng  LC  2  3 10 17 73 45 200 190 430 650  25   0   2  24  40  13   6   4   0   0  93
N_Adams      25 eng   C  2  8 13 14 76 50 160 360 510 590  23   0  10  32  30   7  10   3   0   0  95
V_Green      23 eng  RC  3 11 12  7 74 55 150 480 550 290  21   0  26  30  10   0   5   4   0   0  94
L_Parker     27 eng  LC  2 12  9  6 72 60 140 520 360 310  24   0  30  22  10   1   2   6   0   0  93
W_Edwards    26 eng   C 11  5  4  3 75 45 450 210 210 150  23   0   0   2   2   0   0   3   0   0  96
O_Collins    22 eng  RL  2  7 11 12 79 50 160 290 440 510  19   0   8  28  22   4   7   2   0   0  97
