[Manchester United]
David De Gea, GK, 8, 10, 9, 12, 5, 5, 6, 18, 16
Luke Shaw, LB, 14, 13, 11, 12, 8, 15, 12, 5, 14
Harry Maguire, CB, 9, 13, 8, 9, 8, 15, 16, 5, 14
Raphael Varane, CB, 12, 12, 10, 10, 7, 16, 15, 5, 16
Aaron Wan-Bissaka, RB, 15, 14, 10, 10, 6, 17, 11, 5, 14
Casemiro, DM, 10, 15, 13, 14, 9, 16, 14, 5, 15
Bruno Fernandes, CM, 12, 14, 16, 17, 14, 10, 11, 5, 13
Christian Eriksen, CM, 9, 12, 15, 17, 13, 8, 10, 5, 12
Marcus Rashford, LW, 17, 14, 15, 13, 15, 8, 10, 5, 12
Jadon Sancho, RW, 15, 13, 16, 14, 13, 7, 8, 5, 11
Cristiano Ronaldo, ST, 14, 13, 16, 11, 18, 6, 16, 5, 14
Mason Greenwood, ST, 15, 12, 14, 10, 16, 7, 12, 5, 12
Antony, RW, 16, 13, 15, 13, 14, 8, 9, 5, 11
Scott McTominay, CM, 12, 15, 11, 12, 11, 14, 13, 5, 13
Fred, CM, 13, 16, 12, 13, 10, 13, 10, 5, 12
Victor Lindelof, CB, 11, 12, 10, 11, 7, 14, 14, 5, 13
Alex Telles, LB, 13, 12, 12, 13, 9, 12, 11, 5, 12
Dean Henderson, GK, 10, 11, 8, 11, 5, 5, 7, 16, 15
