// team: Red Dragons FC
Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
T_Johnson    28 eng   C 18  5  4  3 70 45 670 240 180 120  25  62   0   0   0   0   0   2   0   0  98
D_Martinez   24 esp  RC  3 15 10  5 80 65 140 520 410 240  23   0  32  12   0   0   2   8   0   0  95
L_Smith      29 eng  LC  2 17  9  4 75 50 120 680 320 180  24   0  44   8   0   0   0   4   0   0  92
C_Wilson     26 eng   C  2 16 11  5 72 55 110 640 450 210  25   0  38  14   0   0   1   5   0   0  93
S_Brown      25 eng  LR  1 14 10  6 78 60 130 580 430 260  22   0  30  15   2   0   2   6   0   0  94
M_Taylor     27 eng   C  3  8 16  8 82 40 150 320 720 340  24   0  10  48  10   0   8   3   0   0  96
J_Thomas     23 eng  LC  2  7 15  9 85 45 160 300 680 390  21   0   8  42  14   1   9   2   0   0  97
R_Garcia     22 esp  RC  2  6 14 12 80 50 170 280 640 480  20   0   6  38  22   3  12   4   0   0  95
P_Anderson   21 eng  RL  3  5 13 14 76 60 180 220 600 520  19   0   4  32  28   6  10   5   0   0  94
K_White      29 eng  RC  2  4 10 17 70 55 190 200 420 680  26   0   2  24  40  12   8   7   0   0  93
A_Harris     28 eng  LC  1  3 11 16 72 50 200 180 450 640  25   0   2  26  36  10   7   6   0   0  92
B_Martin     24 eng   C  3  9 12 15 78 45 160 380 520 600  22   0  12  30  32   8   9   4   0   0  95
N_Thompson   22 eng  RC  2 12 13  6 75 55 140 500 560 280  20   0  28  34   8   0   4   3   0   0  94
V_Baker      26 eng  LC  3 13  8  7 73 60 150 540 340 320  23   0  34  20  12   1   3   5   0   0  93
G_Hall       25 eng   C 10  4  5  3 74 40 440 200 220 160  22   0   0   4   2   0   0   2   0   0  95
E_Young      21 eng  RL  3  7 10 13 80 50 170 300 420 520  18   0   8  26  24   5   6   3   0   0  96
